,size,strength,best_pred,mean_time,min_time,max_time,best_pos
0,5,3,-9.28116758713491,5.3765626668930055,4.890627384185791,5.921875715255737,"[ 0.80423463  0.77175686  0.27785019 -0.16982346  0.55636078  0.41948876
  1.12537787  1.11175787  1.14378217  0.49399899  0.35507803  1.13686899
  0.21713137  1.3031791   0.92209384]"
1,5,6,-8.694256516966812,4.9578125238418576,4.874999761581421,5.015625476837158,"[-0.05700316  0.2812858   0.36870289  0.432233    0.45748064 -0.45947202
  0.47067184  0.40472968  1.17242681  0.6772866   0.99668305  0.3862045
  0.85864773 -0.06094201  0.35376652]"
2,5,10,-6.247303106047468,5.112894034385681,4.874999761581421,5.703961372375488,"[-0.05011047 -0.6472169  -0.29113652  0.66750021 -0.47710069  0.52449927
 -0.43704459 -0.42480442  0.60654636  0.07172397  0.26773207  0.05218351
 -0.98009104  0.27835254 -0.07687221]"
3,5,14,-6.265648538243367,4.948436951637268,4.890628099441528,5.031252145767212,"[ 0.05258541 -1.09739688 -0.51715363  0.8423454  -0.46767881 -0.61031454
 -0.32400848  0.1361862   0.19878959 -0.77144206 -0.72643353 -0.07065606
 -0.10661243 -0.12875514 -0.73208023]"
4,6,3,-13.401193536991691,7.257812261581421,7.218748331069946,7.328127861022949,"[-0.14146976 -0.58869677  0.08485834  0.68855557  0.53421553  0.52597205
  0.77409955 -0.45014786  0.42141713 -0.3260955   0.47290782  0.18908102
  0.02602717 -0.07712112  0.9180267   0.42974015  0.10554402 -0.30498626]"
5,6,6,-10.695470232407962,7.25181360244751,7.140655994415283,7.31247091293335,"[ 0.40140469 -0.15429244  1.21661429  0.17323006 -0.40989887  0.22350209
 -0.51070966  0.00950504  0.82458598  0.28242982  0.51963411  0.49210914
  1.10708696 -0.27592058  0.24195354  0.57859673  0.34090532 -0.40513297]"
6,6,10,-7.618372448526902,7.773858118057251,7.187499761581421,9.228519678115845,"[-0.01921923  0.34148393  0.81471675 -0.51869304  1.02424284  0.27822929
  0.34416983 -0.54969199  0.06976755  0.51411258  0.9376743   1.4087005
 -0.31943825  0.12992805 -0.16299865  0.621606    0.4185753  -0.08095885]"
7,6,14,-6.748812431480314,7.7265609979629515,7.42187237739563,8.390624761581421,"[-1.25582931 -0.18600657 -0.81738029 -1.70708986 -0.88280967 -0.20680615
 -1.06156562  0.55687151 -0.03296411 -0.83069449 -1.02293294 -0.62392872
 -0.57351721  0.53275193 -0.90456017 -0.33924521 -0.09221327 -0.21362136]"
8,7,3,-16.888064841544793,10.35335886478424,10.140603065490723,10.81249475479126,"[ 0.77332058 -0.38967614  0.75983606 -0.1173351  -0.4517407   0.46696058
  0.23037625  0.45914297  0.77683063 -0.3048302   0.54808953  0.02296421
  0.56206982 -0.6506256  -0.17594704 -0.08157144 -0.14271435 -0.5920172
  0.70143885  0.28001575 -0.15448553]"
9,7,6,-12.523763979334205,10.601562452316283,10.343749046325684,10.859376192092896,"[ 0.87612139  1.22795483  0.49106704  1.05418139  0.51164871  1.23250204
  0.21566386  0.93777484 -0.32480763 -0.15892043 -0.20192523  0.23448785
  0.16875226  0.03724646  1.40665103  0.02310243  0.74489555  0.64224591
  0.72239204  0.13357178  0.31406157]"
